global_index,sim_name,family,law,split,index,R,T_g,W_g0,delta_max,t_start_delta,dt_ramp,dt_1,dt_2,dt_up,dt_hold,dt_down,dt_ramp1,dt_hold1,dt_ramp2,dt_hold2
64,sim_B1n_000_train,B1n,1,train,0,0.379101,0.870067,30.3281,-7.293,0.766959,0.226405,nan,nan,nan,nan,nan,nan,nan,nan,nan
65,sim_B1n_001_train,B1n,1,train,1,0.455382,0.553554,36.4306,-7.133506,0.703609,0.389073,nan,nan,nan,nan,nan,nan,nan,nan,nan
66,sim_B1n_002_train,B1n,1,train,2,0.34937,0.357248,27.9496,-9.787586,0.456547,0.391581,nan,nan,nan,nan,nan,nan,nan,nan,nan
67,sim_B1n_003_train,B1n,1,train,3,0.159015,0.466172,12.7212,-3.229883,0.793555,0.246488,nan,nan,nan,nan,nan,nan,nan,nan,nan
68,sim_B1n_004_train,B1n,1,train,4,0.409741,1.192559,32.7793,-12.072708,0.728081,0.163078,nan,nan,nan,nan,nan,nan,nan,nan,nan
69,sim_B1n_005_train,B1n,1,train,5,0.292779,0.752495,23.4223,-8.801551,0.450508,0.310634,nan,nan,nan,nan,nan,nan,nan,nan,nan
70,sim_B1n_006_train,B1n,1,train,6,0.257525,0.886007,20.602,-14.070423,0.485234,0.106423,nan,nan,nan,nan,nan,nan,nan,nan,nan
71,sim_B1n_007_train,B1n,1,train,7,0.148518,0.74882,11.8814,-10.626959,0.476088,0.190376,nan,nan,nan,nan,nan,nan,nan,nan,nan
72,sim_B1n_008_train,B1n,1,train,8,0.419652,1.065883,33.5722,-11.355605,0.590641,0.181551,nan,nan,nan,nan,nan,nan,nan,nan,nan
73,sim_B1n_009_train,B1n,1,train,9,0.257287,1.011434,20.583,-9.451863,0.551465,0.454078,nan,nan,nan,nan,nan,nan,nan,nan,nan
74,sim_B1n_010_test,B1n,1,test,10,0.220306,0.570827,17.6245,-14.950691,0.608745,0.147968,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,sim_B1n_011_test,B1n,1,test,11,0.436448,0.936425,34.9158,-16.250433,0.607615,0.403294,nan,nan,nan,nan,nan,nan,nan,nan,nan
76,sim_B1n_012_test,B1n,1,test,12,0.115038,1.001682,9.203,-6.773663,0.2643,0.226779,nan,nan,nan,nan,nan,nan,nan,nan,nan
77,sim_B2n_000_train,B2n,2,train,0,0.587414,0.417212,46.9931,-5.187214,0.569952,nan,0.173338,0.390009,nan,nan,nan,nan,nan,nan,nan
78,sim_B2n_001_train,B2n,2,train,1,0.576541,0.734509,46.1233,-7.987603,0.585019,nan,0.148052,0.161973,nan,nan,nan,nan,nan,nan,nan
79,sim_B2n_002_train,B2n,2,train,2,0.309232,0.831242,24.7386,-8.095983,0.741772,nan,0.195092,0.236454,nan,nan,nan,nan,nan,nan,nan
80,sim_B2n_003_train,B2n,2,train,3,0.144096,0.302019,11.5277,-15.955102,0.472208,nan,0.058887,0.260407,nan,nan,nan,nan,nan,nan,nan
81,sim_B2n_004_train,B2n,2,train,4,0.513343,0.742766,41.0674,-9.174631,0.351383,nan,0.182028,0.204916,nan,nan,nan,nan,nan,nan,nan
82,sim_B2n_005_train,B2n,2,train,5,0.505225,0.829062,40.418,-2.402621,0.373498,nan,0.150618,0.149154,nan,nan,nan,nan,nan,nan,nan
83,sim_B2n_006_train,B2n,2,train,6,0.294464,0.584249,23.5571,-18.95296,0.248997,nan,0.195247,0.143953,nan,nan,nan,nan,nan,nan,nan
84,sim_B2n_007_train,B2n,2,train,7,0.599553,0.321995,47.9642,-11.870739,0.584572,nan,0.157853,0.375283,nan,nan,nan,nan,nan,nan,nan
85,sim_B2n_008_test,B2n,2,test,8,0.328074,0.838936,26.2459,-18.563951,0.438656,nan,0.103609,0.315712,nan,nan,nan,nan,nan,nan,nan
86,sim_B2n_009_test,B2n,2,test,9,0.333212,0.53173,26.657,-16.047834,0.404824,nan,0.121483,0.395506,nan,nan,nan,nan,nan,nan,nan
87,sim_B3n_000_train,B3n,3,train,0,0.388957,0.596394,31.1166,-9.467881,0.765888,nan,nan,nan,0.197777,0.155454,0.191492,nan,nan,nan,nan
88,sim_B3n_001_train,B3n,3,train,1,0.131135,1.049414,10.4908,-7.933814,0.316483,nan,nan,nan,0.356852,0.477904,0.33017,nan,nan,nan,nan
89,sim_B3n_002_train,B3n,3,train,2,0.406497,0.659702,32.5198,-14.913878,0.645976,nan,nan,nan,0.338648,0.207247,0.407716,nan,nan,nan,nan
90,sim_B3n_003_train,B3n,3,train,3,0.116836,0.408659,9.3469,-19.489465,0.697632,nan,nan,nan,0.304826,0.170579,0.149771,nan,nan,nan,nan
91,sim_B3n_004_train,B3n,3,train,4,0.15969,0.8084,12.7752,-3.409453,0.625455,nan,nan,nan,0.267642,0.343742,0.141579,nan,nan,nan,nan
92,sim_B3n_005_train,B3n,3,train,5,0.40834,1.082037,32.6672,-19.799027,0.248536,nan,nan,nan,0.252945,0.305886,0.315347,nan,nan,nan,nan
93,sim_B3n_006_test,B3n,3,test,6,0.490256,0.69906,39.2205,-19.388111,0.628491,nan,nan,nan,0.282254,0.347693,0.437306,nan,nan,nan,nan
94,sim_B3n_007_test,B3n,3,test,7,0.417002,0.640805,33.3602,-14.035587,0.469245,nan,nan,nan,0.218806,0.219338,0.066952,nan,nan,nan,nan
95,sim_Cn_000_train,Cn,1,train,0,0.578269,0.99753,46.2615,-9.579303,0.046133,0.233002,nan,nan,nan,nan,nan,nan,nan,nan,nan
96,sim_Cn_001_train,Cn,1,train,1,0.386628,1.088542,30.9302,-4.587915,0.11843,0.218538,nan,nan,nan,nan,nan,nan,nan,nan,nan
97,sim_Cn_002_train,Cn,1,train,2,0.479459,1.09654,38.3567,-17.347093,0.142728,0.196055,nan,nan,nan,nan,nan,nan,nan,nan,nan
98,sim_Cn_003_train,Cn,1,train,3,0.528679,0.413946,42.2943,-17.717281,0.09559,0.412597,nan,nan,nan,nan,nan,nan,nan,nan,nan
99,sim_Cn_004_test,Cn,1,test,4,0.201684,0.89581,16.1347,-18.062142,0.119405,0.149579,nan,nan,nan,nan,nan,nan,nan,nan,nan
100,sim_D_000_train,D,4,train,0,0.125142,0.580984,10.0114,15.427511,0.4289,nan,nan,nan,nan,nan,nan,0.231101,0.290077,0.055368,0.20594
101,sim_D_001_train,D,4,train,1,0.121723,0.538368,9.7378,19.035021,0.485443,nan,nan,nan,nan,nan,nan,0.237342,0.097223,0.187226,0.0863
102,sim_D_002_train,D,4,train,2,0.148704,0.73899,11.8963,11.736676,0.204242,nan,nan,nan,nan,nan,nan,0.151357,0.260417,0.293539,0.299964
103,sim_D_003_train,D,4,train,3,0.1429,0.746388,11.432,15.920505,0.563506,nan,nan,nan,nan,nan,nan,0.192602,0.191388,0.183149,0.099653
104,sim_D_004_train,D,4,train,4,0.307446,0.922844,24.5957,3.796034,0.318547,nan,nan,nan,nan,nan,nan,0.199293,0.14395,0.271484,0.167247
105,sim_D_005_train,D,4,train,5,0.582189,0.976371,46.5751,9.58592,0.346585,nan,nan,nan,nan,nan,nan,0.093303,0.218432,0.289751,0.086553
106,sim_D_006_train,D,4,train,6,0.19794,0.626254,15.8352,12.672794,0.553207,nan,nan,nan,nan,nan,nan,0.209808,0.158154,0.161504,0.274088
107,sim_D_007_train,D,4,train,7,0.536516,1.012065,42.9213,9.334414,0.340947,nan,nan,nan,nan,nan,nan,0.284563,0.243093,0.086486,0.106375
108,sim_D_008_train,D,4,train,8,0.244265,1.128251,19.5412,8.304668,0.286277,nan,nan,nan,nan,nan,nan,0.107535,0.23799,0.235512,0.226982
109,sim_D_009_train,D,4,train,9,0.351387,1.027396,28.111,10.574866,0.597557,nan,nan,nan,nan,nan,nan,0.205271,0.12895,0.292973,0.249637
110,sim_D_010_test,D,4,test,10,0.106256,0.701534,8.5005,12.089526,0.200432,nan,nan,nan,nan,nan,nan,0.118394,0.078972,0.0984,0.276439
111,sim_D_011_test,D,4,test,11,0.152162,1.180656,12.173,14.859865,0.264384,nan,nan,nan,nan,nan,nan,0.289031,0.220566,0.112703,0.124465
112,sim_D_012_test,D,4,test,12,0.343082,0.36709,27.4466,6.073954,0.499915,nan,nan,nan,nan,nan,nan,0.135302,0.25584,0.132151,0.283456
